Index,x,y
1,0.036969603,0
2,0.043422214,0
3,0.047441021,0
4,0.050720902,0
5,0.050814499,0
6,0.054537161,0
7,0.057303383,0
8,0.058828418,0
9,0.073600515,0
10,0.07774631,0
11,0.082969477,0
12,0.093562705,0
13,0.11915646,0
14,0.121758705,0
15,0.133671144,1
16,0.136288404,0
17,0.140790672,1
18,0.146638447,0
19,0.169616708,1
20,0.177503966,0
21,0.188165788,1
22,0.207494989,1
23,0.23599077,1
24,0.241459744,1
25,0.263149184,1
26,0.269537958,1
27,0.279861732,1
28,0.310988068,1
29,0.34809315,1
30,0.350871012,1
31,0.357778166,1
32,0.362624253,1
33,0.36995018,1
34,0.384966486,1
35,0.391593922,1
36,0.393572859,1
37,0.394614881,1
38,0.395034122,1
39,0.400599375,1
40,0.4019998,1
41,0.402124713,1
42,0.412432752,1
43,0.413139584,1
44,0.4331315,1
45,0.441608594,1
46,0.442416657,1
47,0.46929772,1
48,0.472444618,1
49,0.500752136,1
50,0.506557374,1
51,0.51373442,1
52,0.5152814,1
53,0.531036903,1
54,0.605156538,1
55,0.642329965,1
56,0.661132814,1
57,0.665754852,1
58,0.68812668,1
59,0.692466147,1
60,0.709795825,1
