Index,x,y
1,0.007761102,0
2,0.013688309,0
3,0.016989948,0
4,0.024035274,0
5,0.035452159,0
6,0.047367963,0
7,0.057937974,0
8,0.060519794,0
9,0.079511206,0
10,0.079830925,0
11,0.081299094,0
12,0.083924427,0
13,0.096371106,0
14,0.100937918,0
15,0.116857381,0
16,0.135242279,0
17,0.139177904,0
18,0.146325056,0
19,0.146410615,0
20,0.152473254,0
21,0.158818364,0
22,0.204857965,0
23,0.218898192,0
24,0.221807284,0
25,0.227782718,0
26,0.229694103,0
27,0.246607596,0
28,0.249384224,0
29,0.256341378,0
30,0.261487369,1
31,0.268645767,1
32,0.268909122,1
33,0.301297191,1
34,0.308090719,1
35,0.317166069,0
36,0.323550923,1
37,0.325296795,1
38,0.338106381,1
39,0.356211973,1
40,0.358596451,1
41,0.364140126,1
42,0.364231367,1
43,0.390604229,1
44,0.397851282,1
45,0.402671384,1
46,0.405737346,1
47,0.408284456,1
48,0.421157883,1
49,0.437433883,1
50,0.45697756,1
51,0.498253637,1
52,0.504151791,1
53,0.522190777,1
54,0.533338188,1
55,0.548516535,1
56,0.552907622,1
57,0.568439878,1
58,0.608063222,1
59,0.67569106,1
60,1.009536589,1
