Index,x,y,SimNum,Insp,N,Case,Even,Overlap
1,0.016460089,1,657,2,30,10,0.266666667,0.733333333
2,0.082571725,1,657,2,30,10,0.266666667,0.733333333
3,0.113073447,1,657,2,30,10,0.266666667,0.733333333
4,0.115542911,1,657,2,30,10,0.266666667,0.733333333
5,0.135875727,1,657,2,30,10,0.266666667,0.733333333
6,0.159870843,1,657,2,30,10,0.266666667,0.733333333
7,0.182311916,0,657,2,30,10,0.266666667,0.733333333
8,0.183517005,1,657,2,30,10,0.266666667,0.733333333
9,0.237533756,1,657,2,30,10,0.266666667,0.733333333
10,0.243232522,1,657,2,30,10,0.266666667,0.733333333
11,0.272316538,0,657,2,30,10,0.266666667,0.733333333
12,0.272350084,1,657,2,30,10,0.266666667,0.733333333
13,0.274134526,1,657,2,30,10,0.266666667,0.733333333
14,0.366600285,1,657,2,30,10,0.266666667,0.733333333
15,0.391117265,0,657,2,30,10,0.266666667,0.733333333
16,0.417485073,0,657,2,30,10,0.266666667,0.733333333
17,0.435448891,1,657,2,30,10,0.266666667,0.733333333
18,0.456701776,0,657,2,30,10,0.266666667,0.733333333
19,0.464136244,1,657,2,30,10,0.266666667,0.733333333
20,0.470146907,0,657,2,30,10,0.266666667,0.733333333
21,0.480009817,0,657,2,30,10,0.266666667,0.733333333
22,0.494475167,0,657,2,30,10,0.266666667,0.733333333
23,0.536734825,1,657,2,30,10,0.266666667,0.733333333
24,0.61474671,1,657,2,30,10,0.266666667,0.733333333
25,0.620430636,1,657,2,30,10,0.266666667,0.733333333
26,0.639647982,1,657,2,30,10,0.266666667,0.733333333
27,0.659078051,1,657,2,30,10,0.266666667,0.733333333
28,0.744413614,1,657,2,30,10,0.266666667,0.733333333
29,0.859641009,1,657,2,30,10,0.266666667,0.733333333
30,0.932122487,1,657,2,30,10,0.266666667,0.733333333
