x,y
0.111880213,3.942979026
0.116866535,4.115570156
0.125308025,4.407754714
0.128044828,4.502483438
0.138857765,4.876750699
0.140593948,4.936845056
0.149429314,5.24266283
0.15000682,5.262652
0.167449923,5.866408593
0.16794681,5.883607301
0.170778688,5.981626869
0.175080188,6.130514317
0.177916974,6.228703734
0.186113176,6.512398186
0.189312089,6.62312188
0.189869855,6.642427777
0.19263747,6.738222994
0.20281139,7.090372007
0.223492113,7.806192105
0.226275998,7.90255045
0.226530347,7.911354217
0.238417679,8.322809423
0.24060738,8.398601365
0.25113397,8.762957297
0.253304666,8.838091413
0.254305218,8.872723449
0.265509026,9.260519878
0.267159358,9.317642667
0.272041823,9.486639031
0.273576033,9.539742486
0.274847684,9.583758031
0.285612281,9.956352093
0.286420524,9.984327758
0.296877429,10.34627172
0.31255967,10.88907977
0.317298544,11.053106
0.323175741,11.25653292
0.334976371,11.6649871
0.3449894,12.01156722
0.349275595,12.1599249
0.351711284,12.24423121
0.354940824,12.35601499
0.359521208,12.51455544
0.373191443,12.98772209
0.373890759,13.01192746
0.38186983,13.28810636
0.385480172,13.41307079
0.393270008,13.68269971
0.393725151,13.69845354
0.396556716,13.79646225
