Index,x,y
15,0.153917693,0
16,0.166910359,0
17,0.181461883,0
18,0.187918014,0
19,0.191985489,0
20,0.206296735,0
21,0.22125183,0
22,0.22254802,0
23,0.223172984,0
24,0.226625926,0
25,0.234836897,0
26,0.240048821,0
27,0.245869667,0
28,0.247247879,0
29,0.24864422,1
30,0.254521076,1
31,0.259783658,1
32,0.260924841,1
33,0.270902464,1
34,0.283500563,1
35,0.284831232,1
36,0.28762478,1
37,0.291295773,1
38,0.296634941,1
39,0.308812298,1
40,0.319062008,1
41,0.322503578,1
42,0.345716849,1
43,0.356358449,1
44,0.366939348,1
